Date,NIFTY_50_Open,NIFTY_50_High,NIFTY_50_Low,NIFTY_50_Close,Auto_Open,Auto_High,Auto_Low,Auto_Close,Bank_Open,Bank_High,Bank_Low,Bank_Close,FMCG_Open,FMCG_High,FMCG_Low,FMCG_Close,IT_Open,IT_High,IT_Low,IT_Close,Next_50_Open,Next_50_High,Next_50_Low,Next_50_Close,Energy_Open,Energy_High,Energy_Low,Energy_Close
1 Jan 2015,8272.8,8294.7,8248.75,8284,8272.8,15 Sep 1922,8248.75,8284,8272.8,8294.7,8248.75,8284,8272.8,8294.7,8248.75,8284,8272.8,8294.7,8248.75,8284,8272.8,8294.7,8248.75,8284,8272.8,8294.7,8248.75,8284
2 Jan 2015,8288.7,8410.6,8288.7,8395.45,8288.7,9 Jan 1923,8288.7,8395.45,8288.7,8410.6,8288.7,8395.45,8288.7,8410.6,8288.7,8395.45,8288.7,8410.6,8288.7,8395.45,8288.7,8410.6,8288.7,8395.45,8288.7,8410.6,8288.7,8395.45
5 Jan 2015,8407.95,8445.6,8363.9,8378.4,8407.95,13 Feb 1923,8363.9,8378.4,8407.95,8445.6,8363.9,8378.4,8407.95,8445.6,8363.9,8378.4,8407.95,8445.6,8363.9,8378.4,8407.95,8445.6,8363.9,8378.4,8407.95,8445.6,8363.9,8378.4
6 Jan 2015,8325.3,8327.85,8111.35,8127.35,8325.3,18 Oct 1922,8111.35,8127.35,8325.3,8327.85,8111.35,8127.35,8325.3,8327.85,8111.35,8127.35,8325.3,8327.85,8111.35,8127.35,8325.3,8327.85,8111.35,8127.35,8325.3,8327.85,8111.35,8127.35
7 Jan 2015,8118.65,8151.2,8065.45,8102.1,8118.65,25 Apr 1922,8065.45,8102.1,8118.65,8151.2,8065.45,8102.1,8118.65,8151.2,8065.45,8102.1,8118.65,8151.2,8065.45,8102.1,8118.65,8151.2,8065.45,8102.1,8118.65,8151.2,8065.45,8102.1
8 Jan 2015,8191.4,8243.5,8167.3,8234.6,8191.4,26 Jul 1922,8167.3,8234.6,8191.4,8243.5,8167.3,8234.6,8191.4,8243.5,8167.3,8234.6,8191.4,8243.5,8167.3,8234.6,8191.4,8243.5,8167.3,8234.6,8191.4,8243.5,8167.3,8234.6
9 Jan 2015,8285.45,8303.3,8190.8,8284.5,8285.45,24 Sep 1922,8190.8,8284.5,8285.45,8303.3,8190.8,8284.5,8285.45,8303.3,8190.8,8284.5,8285.45,8303.3,8190.8,8284.5,8285.45,8303.3,8190.8,8284.5,8285.45,8303.3,8190.8,8284.5
12 Jan 2015,8291.35,8332.6,8245.6,8323,8291.35,23 Oct 1922,8245.6,8323,8291.35,8332.6,8245.6,8323,8291.35,8332.6,8245.6,8323,8291.35,8332.6,8245.6,8323,8291.35,8332.6,8245.6,8323,8291.35,8332.6,8245.6,8323
13 Jan 2015,8346.15,8356.65,8267.9,8299.4,8346.15,16 Nov 1922,8267.9,8299.4,8346.15,8356.65,8267.9,8299.4,8346.15,8356.65,8267.9,8299.4,8346.15,8356.65,8267.9,8299.4,8346.15,8356.65,8267.9,8299.4,8346.15,8356.65,8267.9,8299.4
14 Jan 2015,8307.25,8326.45,8236.65,8277.55,8307.25,17 Oct 1922,8236.65,8277.55,8307.25,8326.45,8236.65,8277.55,8307.25,8326.45,8236.65,8277.55,8307.25,8326.45,8236.65,8277.55,8307.25,8326.45,8236.65,8277.55,8307.25,8326.45,8236.65,8277.55
